,ID,SL.l,SL.w,PL.l,PL.w,variety,zeroes,Sq_PL.l
0,0,5,3.5,1.4,0.2,Setosa,0,1.9599999999999997
1,1,4,3.0,1.4,0.2,Setosa,0,1.9599999999999997
2,2,4,3.2,1.3,0.2,Setosa,0,1.6900000000000002
3,3,4,3.1,1.5,0.2,Setosa,0,2.25
4,4,5,3.6,1.4,0.2,Setosa,0,1.9599999999999997
5,5,5,3.9,1.7,0.4,Setosa,0,2.8899999999999997
6,6,4,3.4,1.4,0.3,Setosa,0,1.9599999999999997
7,7,5,3.4,1.5,0.2,Setosa,0,2.25
8,8,4,2.9,1.4,0.2,Setosa,0,1.9599999999999997
9,9,4,3.1,1.5,0.1,Setosa,0,2.25
10,10,5,3.7,1.5,0.2,Setosa,0,2.25
11,11,4,3.4,1.6,0.2,Setosa,0,2.5600000000000005
12,12,4,3.0,1.4,0.1,Setosa,0,1.9599999999999997
13,13,4,3.0,1.1,0.1,Setosa,0,1.2100000000000002
14,14,5,4.0,1.2,0.2,Setosa,0,1.44
15,15,5,4.4,1.5,0.4,Setosa,0,2.25
16,16,5,3.9,1.3,0.4,Setosa,0,1.6900000000000002
17,17,5,3.5,1.4,0.3,Setosa,0,1.9599999999999997
18,18,5,3.8,1.7,0.3,Setosa,0,2.8899999999999997
19,19,5,3.8,1.5,0.3,Setosa,0,2.25
20,20,5,3.4,1.7,0.2,Setosa,0,2.8899999999999997
21,21,5,3.7,1.5,0.4,Setosa,0,2.25
22,22,4,3.6,1.0,0.2,Setosa,0,1.0
23,23,5,3.3,1.7,0.5,Setosa,0,2.8899999999999997
24,24,4,3.4,1.9,0.2,Setosa,0,3.61
25,25,5,3.0,1.6,0.2,Setosa,0,2.5600000000000005
26,26,5,3.4,1.6,0.4,Setosa,0,2.5600000000000005
27,27,5,3.5,1.5,0.2,Setosa,0,2.25
28,28,5,3.4,1.4,0.2,Setosa,0,1.9599999999999997
29,29,4,3.2,1.6,0.2,Setosa,0,2.5600000000000005
30,30,4,3.1,1.6,0.2,Setosa,0,2.5600000000000005
31,31,5,3.4,1.5,0.4,Setosa,0,2.25
32,32,5,4.1,1.5,0.1,Setosa,0,2.25
33,33,5,4.2,1.4,0.2,Setosa,0,1.9599999999999997
34,34,4,3.1,1.5,0.2,Setosa,0,2.25
35,35,5,3.2,1.2,0.2,Setosa,0,1.44
36,36,5,3.5,1.3,0.2,Setosa,0,1.6900000000000002
37,37,4,3.6,1.4,0.1,Setosa,0,1.9599999999999997
38,38,4,3.0,1.3,0.2,Setosa,0,1.6900000000000002
39,39,5,3.4,1.5,0.2,Setosa,0,2.25
40,40,5,3.5,1.3,0.3,Setosa,0,1.6900000000000002
41,41,4,2.3,1.3,0.3,Setosa,0,1.6900000000000002
42,42,4,3.2,1.3,0.2,Setosa,0,1.6900000000000002
43,43,5,3.5,1.6,0.6,Setosa,0,2.5600000000000005
44,44,5,3.8,1.9,0.4,Setosa,0,3.61
45,45,4,3.0,1.4,0.3,Setosa,0,1.9599999999999997
46,46,5,3.8,1.6,0.2,Setosa,0,2.5600000000000005
47,47,4,3.2,1.4,0.2,Setosa,0,1.9599999999999997
48,48,5,3.7,1.5,0.2,Setosa,0,2.25
49,49,5,3.3,1.4,0.2,Setosa,0,1.9599999999999997
50,50,7,3.2,4.7,1.4,Versicolor,0,22.090000000000003
51,51,6,3.2,4.5,1.5,Versicolor,0,20.25
52,52,6,3.1,4.9,1.5,Versicolor,0,24.010000000000005
53,53,5,2.3,4.0,1.3,Versicolor,0,16.0
54,54,6,2.8,4.6,1.5,Versicolor,0,21.159999999999997
55,55,5,2.8,4.5,1.3,Versicolor,0,20.25
56,56,6,3.3,4.7,1.6,Versicolor,0,22.090000000000003
57,57,4,2.4,3.3,1.0,Versicolor,0,10.889999999999999
58,58,6,2.9,4.6,1.3,Versicolor,0,21.159999999999997
59,59,5,2.7,3.9,1.4,Versicolor,0,15.209999999999999
60,60,5,2.0,3.5,1.0,Versicolor,0,12.25
61,61,5,3.0,4.2,1.5,Versicolor,0,17.64
62,62,6,2.2,4.0,1.0,Versicolor,0,16.0
63,63,6,2.9,4.7,1.4,Versicolor,0,22.090000000000003
64,64,5,2.9,3.6,1.3,Versicolor,0,12.96
65,65,6,3.1,4.4,1.4,Versicolor,0,19.360000000000003
66,66,5,3.0,4.5,1.5,Versicolor,0,20.25
67,67,5,2.7,4.1,1.0,Versicolor,0,16.81
68,68,6,2.2,4.5,1.5,Versicolor,0,20.25
69,69,5,2.5,3.9,1.1,Versicolor,0,15.209999999999999
70,70,5,3.2,4.8,1.8,Versicolor,0,23.04
71,71,6,2.8,4.0,1.3,Versicolor,0,16.0
72,72,6,2.5,4.9,1.5,Versicolor,0,24.010000000000005
73,73,6,2.8,4.7,1.2,Versicolor,0,22.090000000000003
74,74,6,2.9,4.3,1.3,Versicolor,0,18.49
75,75,6,3.0,4.4,1.4,Versicolor,0,19.360000000000003
76,76,6,2.8,4.8,1.4,Versicolor,0,23.04
77,77,6,3.0,5.0,1.7,Versicolor,0,25.0
78,78,6,2.9,4.5,1.5,Versicolor,0,20.25
79,79,5,2.6,3.5,1.0,Versicolor,0,12.25
80,80,5,2.4,3.8,1.1,Versicolor,0,14.44
81,81,5,2.4,3.7,1.0,Versicolor,0,13.690000000000001
82,82,5,2.7,3.9,1.2,Versicolor,0,15.209999999999999
83,83,6,2.7,5.1,1.6,Versicolor,0,26.009999999999998
84,84,5,3.0,4.5,1.5,Versicolor,0,20.25
85,85,6,3.4,4.5,1.6,Versicolor,0,20.25
86,86,6,3.1,4.7,1.5,Versicolor,0,22.090000000000003
87,87,6,2.3,4.4,1.3,Versicolor,0,19.360000000000003
88,88,5,3.0,4.1,1.3,Versicolor,0,16.81
89,89,5,2.5,4.0,1.3,Versicolor,0,16.0
90,90,5,2.6,4.4,1.2,Versicolor,0,19.360000000000003
91,91,6,3.0,4.6,1.4,Versicolor,0,21.159999999999997
92,92,5,2.6,4.0,1.2,Versicolor,0,16.0
93,93,5,2.3,3.3,1.0,Versicolor,0,10.889999999999999
94,94,5,2.7,4.2,1.3,Versicolor,0,17.64
95,95,5,3.0,4.2,1.2,Versicolor,0,17.64
96,96,5,2.9,4.2,1.3,Versicolor,0,17.64
97,97,6,2.9,4.3,1.3,Versicolor,0,18.49
98,98,5,2.5,3.0,1.1,Versicolor,0,9.0
99,99,5,2.8,4.1,1.3,Versicolor,0,16.81
100,100,6,3.3,6.0,2.5,Virginica,0,36.0
101,101,5,2.7,5.1,1.9,Virginica,0,26.009999999999998
102,102,7,3.0,5.9,2.1,Virginica,0,34.81
103,103,6,2.9,5.6,1.8,Virginica,0,31.359999999999996
104,104,6,3.0,5.8,2.2,Virginica,0,33.64
105,105,7,3.0,6.6,2.1,Virginica,0,43.559999999999995
106,106,4,2.5,4.5,1.7,Virginica,0,20.25
107,107,7,2.9,6.3,1.8,Virginica,0,39.69
108,108,6,2.5,5.8,1.8,Virginica,0,33.64
109,109,7,3.6,6.1,2.5,Virginica,0,37.209999999999994
110,110,6,3.2,5.1,2.0,Virginica,0,26.009999999999998
111,111,6,2.7,5.3,1.9,Virginica,0,28.09
112,112,6,3.0,5.5,2.1,Virginica,0,30.25
113,113,5,2.5,5.0,2.0,Virginica,0,25.0
114,114,5,2.8,5.1,2.4,Virginica,0,26.009999999999998
115,115,6,3.2,5.3,2.3,Virginica,0,28.09
116,116,6,3.0,5.5,1.8,Virginica,0,30.25
117,117,7,3.8,6.7,2.2,Virginica,0,44.89
118,118,7,2.6,6.9,2.3,Virginica,0,47.61000000000001
119,119,6,2.2,5.0,1.5,Virginica,0,25.0
120,120,6,3.2,5.7,2.3,Virginica,0,32.49
121,121,5,2.8,4.9,2.0,Virginica,0,24.010000000000005
122,122,7,2.8,6.7,2.0,Virginica,0,44.89
123,123,6,2.7,4.9,1.8,Virginica,0,24.010000000000005
124,124,6,3.3,5.7,2.1,Virginica,0,32.49
125,125,7,3.2,6.0,1.8,Virginica,0,36.0
126,126,6,2.8,4.8,1.8,Virginica,0,23.04
127,127,6,3.0,4.9,1.8,Virginica,0,24.010000000000005
128,128,6,2.8,5.6,2.1,Virginica,0,31.359999999999996
129,129,7,3.0,5.8,1.6,Virginica,0,33.64
130,130,7,2.8,6.1,1.9,Virginica,0,37.209999999999994
131,131,7,3.8,6.4,2.0,Virginica,0,40.96000000000001
132,132,6,2.8,5.6,2.2,Virginica,0,31.359999999999996
133,133,6,2.8,5.1,1.5,Virginica,0,26.009999999999998
134,134,6,2.6,5.6,1.4,Virginica,0,31.359999999999996
135,135,7,3.0,6.1,2.3,Virginica,0,37.209999999999994
136,136,6,3.4,5.6,2.4,Virginica,0,31.359999999999996
137,137,6,3.1,5.5,1.8,Virginica,0,30.25
138,138,6,3.0,4.8,1.8,Virginica,0,23.04
139,139,6,3.1,5.4,2.1,Virginica,0,29.160000000000004
140,140,6,3.1,5.6,2.4,Virginica,0,31.359999999999996
141,141,6,3.1,5.1,2.3,Virginica,0,26.009999999999998
142,142,5,2.7,5.1,1.9,Virginica,0,26.009999999999998
143,143,6,3.2,5.9,2.3,Virginica,0,34.81
144,144,6,3.3,5.7,2.5,Virginica,0,32.49
145,145,6,3.0,5.2,2.3,Virginica,0,27.040000000000003
146,146,6,2.5,5.0,1.9,Virginica,0,25.0
147,147,6,3.0,5.2,2.0,Virginica,0,27.040000000000003
148,148,6,3.4,5.4,2.3,Virginica,0,29.160000000000004
149,149,5,3.0,5.1,1.8,Virginica,0,26.009999999999998
